generation,solution_id,fft_size,s0_mult,s0_add,s1_mult,s1_add,s2_mult,s2_add,s3_mult,s3_add,s4_mult,s4_add,s5_mult,s5_add,power_W,area_LUTs,lutrams,dsps,brams,ffs,sqnr_dB,norm_latency,crit_delay_ns,meets_timing,avg_exec_cycles,tot_sim_cycles,fp4_mult_pct,fp8_mult_pct,fp4_add_pct,fp8_add_pct
304,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0.074000,1008,36,9,4,590,9.4100,0.2439,19.509,1,267,5764,100.0,0.0,100.0,0.0
304,1,64,1,1,1,1,1,1,1,1,1,1,1,1,0.075000,1925,68,13,4,597,36.8400,0.5349,42.795,1,267,5764,0.0,100.0,0.0,100.0
304,2,64,1,1,1,1,1,1,0,0,0,0,0,0,0.075000,1979,69,13,4,608,1.7000,0.5350,42.798,1,267,5764,50.0,50.0,50.0,50.0
304,3,64,0,0,0,0,0,0,1,1,1,1,1,1,0.075000,1979,69,13,4,608,10.7300,0.5393,43.147,1,267,5764,50.0,50.0,50.0,50.0
304,4,64,1,0,1,0,1,0,1,0,1,0,1,0,0.074000,1502,54,13,4,602,9.5600,0.4272,34.176,1,267,5764,0.0,100.0,100.0,0.0
304,5,64,0,1,0,1,0,1,0,1,0,1,0,1,0.075000,1307,53,9,4,595,10.8900,0.3560,28.480,1,267,5764,100.0,0.0,0.0,100.0
304,6,64,1,0,1,0,0,0,0,0,0,0,0,0,0.074000,1502,54,13,4,602,9.4100,0.4272,34.176,1,267,5764,66.7,33.3,100.0,0.0
304,7,64,1,1,1,1,0,1,0,0,0,0,1,1,0.076000,1959,69,13,4,608,2.1200,0.5389,43.109,1,267,5764,50.0,50.0,33.3,66.7
304,8,64,1,1,1,1,0,0,0,0,0,0,0,0,0.075000,1972,68,13,4,606,1.3300,0.5349,42.795,1,267,5764,66.7,33.3,66.7,33.3
304,9,64,0,0,1,1,1,1,0,1,0,0,0,1,0.076000,1954,69,13,4,608,10.1300,0.5389,43.109,1,267,5764,66.7,33.3,33.3,66.7
304,10,64,0,1,0,1,1,0,0,1,1,1,1,1,0.076000,1954,69,13,4,608,2.9400,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
304,11,64,1,1,1,0,1,0,0,1,0,1,0,1,0.076000,1954,69,13,4,608,2.3300,0.5389,43.109,1,267,5764,50.0,50.0,33.3,66.7
304,12,64,1,1,0,0,0,0,1,0,1,1,1,0,0.076000,1954,69,13,4,608,2.0800,0.5389,43.109,1,267,5764,33.3,66.7,66.7,33.3
304,13,64,1,1,1,0,0,1,0,0,0,1,1,1,0.076000,1954,69,13,4,608,2.8600,0.5389,43.109,1,267,5764,50.0,50.0,33.3,66.7
304,14,64,0,0,0,1,0,0,0,0,0,1,1,1,0.075000,1954,69,13,4,608,9.9300,0.5389,43.109,1,267,5764,83.3,16.7,50.0,50.0
304,15,64,1,0,1,1,0,0,0,1,0,0,1,1,0.076000,1954,69,13,4,608,9.9000,0.5389,43.109,1,267,5764,50.0,50.0,50.0,50.0
304,16,64,1,1,0,1,1,0,0,1,0,1,0,1,0.076000,1957,69,13,4,608,2.5700,0.5389,43.109,1,267,5764,66.7,33.3,16.7,83.3
304,17,64,0,1,1,0,0,1,1,1,1,1,1,1,0.076000,1952,69,13,4,608,6.4700,0.5389,43.109,1,267,5764,33.3,66.7,16.7,83.3
304,18,64,1,1,0,0,1,1,1,0,0,1,1,0,0.076000,1954,69,13,4,608,2.1900,0.5389,43.109,1,267,5764,33.3,66.7,50.0,50.0
304,19,64,0,0,0,1,1,1,0,0,0,1,1,1,0.076000,1953,69,13,4,608,10.2800,0.5389,43.109,1,267,5764,66.7,33.3,33.3,66.7
304,20,64,1,1,0,1,0,0,1,1,1,0,1,0,0.076000,1954,69,13,4,608,2.1700,0.5389,43.109,1,267,5764,33.3,66.7,50.0,50.0
304,21,64,0,0,0,0,1,0,1,0,1,0,1,1,0.075000,1962,69,13,4,608,9.8200,0.5389,43.109,1,267,5764,33.3,66.7,83.3,16.7
304,22,64,0,0,1,0,1,0,0,1,1,0,0,0,0.075000,1954,69,13,4,608,9.4900,0.5389,43.109,1,267,5764,50.0,50.0,83.3,16.7
304,23,64,1,0,1,1,0,1,0,1,0,0,0,0,0.075000,1957,69,13,4,608,10.0000,0.5389,43.109,1,267,5764,66.7,33.3,50.0,50.0
304,24,64,1,1,1,0,0,1,1,1,1,1,1,1,0.076000,1952,69,13,4,608,9.5700,0.5389,43.109,1,267,5764,16.7,83.3,16.7,83.3
304,25,64,0,1,1,1,0,1,0,1,1,1,0,1,0.075000,1907,69,13,4,599,11.7800,0.5389,43.109,1,267,5764,66.7,33.3,0.0,100.0
304,26,64,1,0,0,1,0,0,0,1,0,1,1,1,0.076000,1954,69,13,4,608,10.1800,0.5389,43.109,1,267,5764,66.7,33.3,33.3,66.7
304,27,64,0,1,0,0,0,0,1,1,0,0,0,0,0.075000,1954,69,13,4,608,1.6900,0.5389,43.109,1,267,5764,83.3,16.7,66.7,33.3
304,28,64,0,1,0,1,0,1,0,0,1,0,0,0,0.075000,1959,69,13,4,608,1.9700,0.5389,43.109,1,267,5764,83.3,16.7,50.0,50.0
305,0,64,0,0,0,1,0,0,0,0,0,0,1,1,0.075000,1954,69,13,4,608,9.8300,0.5389,43.109,1,267,5764,83.3,16.7,66.7,33.3
305,1,64,1,0,0,1,0,0,0,0,0,0,0,0,0.075000,1954,69,13,4,608,9.4100,0.5389,43.109,1,267,5764,83.3,16.7,83.3,16.7
305,2,64,1,1,1,0,0,1,1,1,0,0,1,1,0.076000,1952,69,13,4,608,3.3300,0.5389,43.109,1,267,5764,33.3,66.7,33.3,66.7
305,3,64,0,0,1,1,1,1,0,1,0,0,1,1,0.076000,1954,69,13,4,608,10.3900,0.5389,43.109,1,267,5764,50.0,50.0,33.3,66.7
305,4,64,0,1,1,0,0,1,1,1,1,1,1,0,0.076000,1954,69,13,4,608,2.5600,0.5389,43.109,1,267,5764,33.3,66.7,33.3,66.7
305,5,64,0,1,1,1,0,1,1,1,1,1,0,1,0.075000,1907,69,13,4,599,12.2100,0.5389,43.109,1,267,5764,50.0,50.0,0.0,100.0
305,6,64,0,0,0,0,1,0,0,1,1,0,0,0,0.075000,1954,69,13,4,608,9.4900,0.5389,43.109,1,267,5764,66.7,33.3,83.3,16.7
305,7,64,0,1,1,0,1,0,0,1,0,1,0,1,0.076000,1954,69,13,4,608,2.2300,0.5389,43.109,1,267,5764,66.7,33.3,33.3,66.7
305,8,64,1,1,1,0,0,1,0,0,0,1,0,1,0.076000,1957,69,13,4,608,2.3400,0.5389,43.109,1,267,5764,66.7,33.3,33.3,66.7
305,9,64,0,1,1,0,0,1,1,1,1,1,0,1,0.076000,1952,69,13,4,608,3.9400,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
305,10,64,1,0,1,0,1,0,1,0,0,1,1,0,0.075000,1954,69,13,4,608,9.7000,0.5389,43.109,1,267,5764,16.7,83.3,83.3,16.7
305,11,64,1,1,1,1,0,1,0,0,0,1,1,1,0.076000,1954,69,13,4,608,3.0700,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
305,12,64,0,1,1,0,0,1,0,0,1,0,0,0,0.076000,1954,69,13,4,608,1.9200,0.5389,43.109,1,267,5764,66.7,33.3,66.7,33.3
305,13,64,1,0,1,1,0,1,0,1,1,1,0,0,0.075000,1956,69,13,4,608,10.2400,0.5389,43.109,1,267,5764,50.0,50.0,33.3,66.7
305,14,64,1,0,0,1,0,0,0,1,0,1,0,1,0.076000,1954,69,13,4,608,9.9700,0.5389,43.109,1,267,5764,83.3,16.7,33.3,66.7
305,15,64,1,0,1,0,1,0,1,0,1,0,1,1,0.075000,1961,69,13,4,608,9.8200,0.5389,43.109,1,267,5764,0.0,100.0,83.3,16.7
305,16,64,1,1,1,1,1,1,0,1,1,1,1,1,0.075000,1907,69,13,4,599,20.1500,0.5389,43.109,1,267,5764,16.7,83.3,0.0,100.0
305,17,64,0,0,1,0,0,0,1,1,1,1,1,1,0.075000,1962,69,13,4,608,10.7300,0.5389,43.109,1,267,5764,33.3,66.7,50.0,50.0
305,18,64,1,1,0,1,1,0,0,1,1,1,1,1,0.076000,1954,69,13,4,608,4.1800,0.5389,43.109,1,267,5764,33.3,66.7,16.7,83.3
305,19,64,0,1,1,1,0,1,0,1,1,1,1,1,0.075000,1907,69,13,4,599,13.5200,0.5389,43.109,1,267,5764,50.0,50.0,0.0,100.0
305,20,64,0,1,0,1,0,1,0,1,1,0,0,1,0.075000,1954,69,13,4,608,2.4300,0.5389,43.109,1,267,5764,83.3,16.7,16.7,83.3
305,21,64,1,0,1,1,1,0,0,1,0,0,1,1,0.076000,1954,69,13,4,608,9.9000,0.5389,43.109,1,267,5764,33.3,66.7,50.0,50.0
305,22,64,0,1,0,0,0,1,1,1,1,1,1,1,0.076000,1952,69,13,4,608,6.2900,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
305,23,64,0,0,0,1,1,1,0,0,1,0,1,1,0.076000,1962,69,13,4,608,10.1000,0.5389,43.109,1,267,5764,50.0,50.0,50.0,50.0
305,24,64,1,1,1,0,0,0,0,1,0,1,0,1,0.076000,1959,69,13,4,608,2.4700,0.5389,43.109,1,267,5764,66.7,33.3,33.3,66.7
305,25,64,1,1,1,0,1,1,1,0,0,1,1,0,0.076000,1954,69,13,4,608,2.2200,0.5389,43.109,1,267,5764,16.7,83.3,50.0,50.0
305,26,64,0,0,0,0,1,0,1,0,0,1,1,1,0.075000,1954,69,13,4,608,9.8800,0.5389,43.109,1,267,5764,50.0,50.0,66.7,33.3
305,27,64,0,0,0,0,1,0,0,1,1,0,1,1,0.075000,1954,69,13,4,608,9.9200,0.5389,43.109,1,267,5764,50.0,50.0,66.7,33.3
305,28,64,1,1,1,1,1,0,0,1,0,1,0,1,0.076000,1954,69,13,4,608,3.0700,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
305,29,64,0,1,0,1,0,1,1,0,0,1,0,1,0.075000,1954,69,13,4,608,2.2600,0.5389,43.109,1,267,5764,83.3,16.7,16.7,83.3
306,0,64,0,0,0,0,0,1,1,1,1,1,1,1,0.075000,1954,69,13,4,608,22.5300,0.5389,43.109,1,267,5764,50.0,50.0,33.3,66.7
306,1,64,0,0,0,1,1,1,0,0,1,1,1,1,0.076000,1952,69,13,4,608,10.3900,0.5389,43.109,1,267,5764,50.0,50.0,33.3,66.7
306,2,64,0,0,0,0,0,0,0,0,1,1,0,0,0.075000,1974,69,13,4,608,9.7200,0.5350,42.798,1,267,5764,83.3,16.7,83.3,16.7
306,4,64,0,1,0,1,0,1,0,1,1,1,0,1,0.075000,1907,69,13,4,599,11.1300,0.5389,43.109,1,267,5764,83.3,16.7,0.0,100.0
306,5,64,0,1,1,1,0,1,0,0,1,1,0,1,0.076000,1954,69,13,4,608,2.7200,0.5389,43.109,1,267,5764,66.7,33.3,16.7,83.3
306,6,64,1,0,1,1,0,0,0,1,1,1,1,1,0.076000,1958,69,13,4,608,10.2700,0.5389,43.109,1,267,5764,33.3,66.7,33.3,66.7
306,7,64,0,1,1,0,0,1,0,1,1,1,1,1,0.076000,1952,69,13,4,608,5.1500,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
306,8,64,0,0,1,0,0,1,1,1,1,1,1,1,0.075000,1954,69,13,4,608,22.5300,0.5389,43.109,1,267,5764,33.3,66.7,33.3,66.7
306,9,64,0,1,1,1,1,1,0,1,0,0,1,1,0.076000,1954,69,13,4,608,3.1000,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
306,10,64,1,1,1,1,1,1,0,1,0,1,1,1,0.075000,1907,69,13,4,599,16.3500,0.5389,43.109,1,267,5764,33.3,66.7,0.0,100.0
306,11,64,0,0,1,0,0,0,1,1,0,0,1,1,0.075000,1954,69,13,4,608,9.7200,0.5389,43.109,1,267,5764,50.0,50.0,66.7,33.3
306,12,64,1,0,1,1,0,1,0,1,1,1,1,1,0.076000,1959,69,13,4,608,12.7800,0.5389,43.109,1,267,5764,33.3,66.7,16.7,83.3
306,13,64,0,1,1,1,0,1,0,1,0,1,0,1,0.075000,1907,69,13,4,599,11.5800,0.5389,43.109,1,267,5764,83.3,16.7,0.0,100.0
306,14,64,1,0,1,0,0,0,1,1,0,0,0,0,0.075000,1954,69,13,4,608,9.4200,0.5389,43.109,1,267,5764,50.0,50.0,83.3,16.7
306,15,64,1,1,1,1,1,1,1,1,0,0,1,1,0.075000,1974,69,13,4,608,4.3300,0.5350,42.798,1,267,5764,16.7,83.3,16.7,83.3
306,16,64,1,0,1,1,0,0,1,1,0,0,1,1,0.076000,1954,69,13,4,608,9.7200,0.5389,43.109,1,267,5764,33.3,66.7,50.0,50.0
306,17,64,0,1,0,1,0,1,0,1,0,0,0,1,0.075000,1345,54,9,4,602,2.3300,0.3560,28.480,1,267,5764,100.0,0.0,16.7,83.3
306,18,64,0,1,0,0,0,0,1,1,1,1,1,1,0.076000,1958,69,13,4,608,2.9300,0.5389,43.109,1,267,5764,50.0,50.0,33.3,66.7
306,19,64,0,0,1,0,1,1,1,1,1,1,1,1,0.075000,1954,69,13,4,608,24.0700,0.5389,43.109,1,267,5764,16.7,83.3,33.3,66.7
306,20,64,1,0,0,1,0,1,0,1,0,1,0,1,0.076000,1959,69,13,4,608,11.2100,0.5389,43.109,1,267,5764,83.3,16.7,16.7,83.3
306,21,64,0,1,1,1,0,1,1,1,1,1,1,1,0.075000,1907,69,13,4,599,14.9700,0.5389,43.109,1,267,5764,33.3,66.7,0.0,100.0
306,22,64,1,0,0,1,0,0,0,1,1,1,1,1,0.076000,1954,69,13,4,608,10.2700,0.5389,43.109,1,267,5764,50.0,50.0,33.3,66.7
306,23,64,0,0,1,1,0,1,0,1,1,1,1,1,0.076000,1954,69,13,4,608,12.7800,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
306,24,64,1,1,1,1,0,1,0,1,1,1,1,1,0.075000,1910,68,13,4,597,16.7200,0.5389,43.109,1,267,5764,33.3,66.7,0.0,100.0
306,25,64,0,1,1,0,1,0,1,0,0,1,1,0,0.076000,1954,69,13,4,608,2.0400,0.5389,43.109,1,267,5764,33.3,66.7,66.7,33.3
306,26,64,0,1,0,0,0,1,1,1,1,1,0,1,0.076000,1952,69,13,4,608,3.9700,0.5389,43.109,1,267,5764,66.7,33.3,16.7,83.3
306,27,64,1,1,1,1,1,1,1,1,0,1,1,1,0.075000,1907,69,13,4,599,18.6000,0.5389,43.109,1,267,5764,16.7,83.3,0.0,100.0
306,28,64,0,0,0,0,1,0,1,0,0,1,0,1,0.075000,1956,68,13,4,606,9.6500,0.5389,43.109,1,267,5764,66.7,33.3,66.7,33.3
306,29,64,1,0,1,1,1,0,1,1,0,0,1,1,0.076000,1954,69,13,4,608,9.7200,0.5389,43.109,1,267,5764,16.7,83.3,50.0,50.0
307,0,64,0,0,1,1,1,1,0,1,1,1,1,1,0.076000,1960,69,13,4,608,13.1400,0.5389,43.109,1,267,5764,33.3,66.7,16.7,83.3
307,1,64,0,0,1,1,0,1,0,1,0,1,1,1,0.076000,1958,69,13,4,608,11.9000,0.5389,43.109,1,267,5764,66.7,33.3,16.7,83.3
307,2,64,1,1,1,1,0,1,1,1,1,1,1,1,0.075000,1907,69,13,4,599,19.2400,0.5389,43.109,1,267,5764,16.7,83.3,0.0,100.0
307,3,64,1,1,1,1,0,1,0,1,0,1,1,1,0.075000,1907,69,13,4,599,14.0500,0.5389,43.109,1,267,5764,50.0,50.0,0.0,100.0
307,4,64,1,0,1,0,0,1,0,0,0,0,0,0,0.075000,1957,69,13,4,608,9.7100,0.5389,43.109,1,267,5764,66.7,33.3,83.3,16.7
307,5,64,1,0,1,1,0,1,0,1,1,1,0,1,0.076000,1955,69,13,4,608,11.3800,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
307,6,64,1,1,1,1,0,1,0,1,0,0,1,1,0.076000,1954,69,13,4,608,3.1400,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
307,7,64,0,0,0,0,0,1,1,1,1,1,0,1,0.075000,1954,69,13,4,608,11.9600,0.5389,43.109,1,267,5764,66.7,33.3,33.3,66.7
307,8,64,1,1,1,0,1,1,1,1,1,1,1,1,0.076000,1955,69,13,4,608,11.2000,0.5389,43.109,1,267,5764,0.0,100.0,16.7,83.3
307,9,64,0,0,0,0,0,0,0,0,0,1,0,0,0.075000,1345,54,9,4,602,9.6300,0.3560,28.480,1,267,5764,100.0,0.0,83.3,16.7
307,10,64,0,1,1,1,1,1,0,1,1,1,1,1,0.075000,1907,69,13,4,599,14.5000,0.5389,43.109,1,267,5764,33.3,66.7,0.0,100.0
307,11,64,0,0,0,0,0,0,1,1,1,1,0,1,0.075000,1961,69,13,4,608,10.4100,0.5389,43.109,1,267,5764,66.7,33.3,50.0,50.0
307,12,64,0,1,1,1,0,0,1,1,1,1,0,1,0.076000,1954,69,13,4,608,2.8400,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
307,14,64,0,0,0,0,0,0,0,1,1,1,0,0,0.075000,1961,69,13,4,608,9.7200,0.5389,43.109,1,267,5764,83.3,16.7,66.7,33.3
307,15,64,0,1,1,1,0,1,0,1,0,0,1,1,0.075000,1957,69,13,4,608,3.0800,0.5389,43.109,1,267,5764,66.7,33.3,16.7,83.3
307,16,64,0,1,1,1,0,1,0,1,0,1,1,1,0.075000,1910,69,13,4,599,12.6600,0.5389,43.109,1,267,5764,66.7,33.3,0.0,100.0
307,17,64,0,0,1,1,0,0,0,0,0,0,0,0,0.075000,1974,69,13,4,608,9.4100,0.5350,42.798,1,267,5764,83.3,16.7,83.3,16.7
307,18,64,0,0,0,0,1,1,1,1,1,1,1,1,0.075000,1972,68,13,4,606,24.0700,0.5349,42.795,1,267,5764,33.3,66.7,33.3,66.7
307,20,64,0,0,1,0,1,1,1,1,1,1,0,1,0.075000,1954,69,13,4,608,12.3800,0.5389,43.109,1,267,5764,33.3,66.7,33.3,66.7
307,21,64,1,0,0,0,0,1,0,1,1,1,1,1,0.075000,1954,69,13,4,608,12.7800,0.5389,43.109,1,267,5764,50.0,50.0,33.3,66.7
307,22,64,0,0,0,1,0,1,0,0,1,1,1,1,0.075000,1956,69,13,4,608,10.3900,0.5389,43.109,1,267,5764,66.7,33.3,33.3,66.7
307,23,64,1,1,1,1,1,1,1,1,1,0,1,1,0.076000,1957,69,13,4,608,5.4900,0.5389,43.109,1,267,5764,0.0,100.0,16.7,83.3
307,24,64,1,0,1,0,1,0,1,0,1,0,0,1,0.075000,1959,69,13,4,608,9.5300,0.5389,43.109,1,267,5764,16.7,83.3,83.3,16.7
307,25,64,1,1,1,1,1,1,0,0,1,1,1,1,0.076000,1974,69,13,4,608,4.8300,0.5350,42.798,1,267,5764,16.7,83.3,16.7,83.3
307,26,64,0,1,1,1,0,1,0,1,0,1,1,0,0.075000,1955,69,13,4,608,2.5000,0.5389,43.109,1,267,5764,66.7,33.3,16.7,83.3
307,27,64,1,1,1,0,0,1,1,1,0,1,1,1,0.076000,1952,69,13,4,608,6.5900,0.5389,43.109,1,267,5764,33.3,66.7,16.7,83.3
307,28,64,0,0,1,0,0,1,1,1,0,0,1,1,0.075000,1954,69,13,4,608,10.2200,0.5389,43.109,1,267,5764,50.0,50.0,50.0,50.0
307,29,64,1,0,1,0,0,0,0,0,1,1,0,0,0.075000,1954,69,13,4,608,9.7200,0.5389,43.109,1,267,5764,50.0,50.0,83.3,16.7
308,0,64,0,0,1,1,0,1,1,1,1,1,0,1,0.076000,1955,69,13,4,608,11.9600,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
308,1,64,0,1,1,1,0,1,1,1,1,1,0,0,0.075000,1952,69,13,4,608,2.1200,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
308,2,64,0,0,1,0,1,1,0,1,1,1,0,1,0.075000,1954,69,13,4,608,11.6400,0.5389,43.109,1,267,5764,50.0,50.0,33.3,66.7
308,3,64,0,1,0,0,0,1,0,1,1,1,0,1,0.076000,1952,69,13,4,608,3.4700,0.5389,43.109,1,267,5764,83.3,16.7,16.7,83.3
308,4,64,0,1,1,1,0,1,0,0,1,1,1,1,0.076000,1954,69,13,4,608,3.0800,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
308,5,64,0,1,0,0,0,0,0,0,0,0,0,0,0.075000,1348,54,9,4,602,1.6700,0.3560,28.480,1,267,5764,100.0,0.0,83.3,16.7
308,7,64,1,0,1,0,0,0,0,0,0,0,1,1,0.075000,1959,69,13,4,608,9.8300,0.5389,43.109,1,267,5764,50.0,50.0,83.3,16.7
308,8,64,0,0,0,0,0,1,1,1,0,1,1,1,0.075000,1954,69,13,4,608,12.2800,0.5389,43.109,1,267,5764,66.7,33.3,33.3,66.7
308,9,64,0,0,1,1,1,1,1,1,1,1,1,1,0.076000,1972,69,13,4,608,24.0700,0.5393,43.147,1,267,5764,16.7,83.3,16.7,83.3
308,11,64,0,1,1,1,0,1,0,1,1,1,0,0,0.075000,1952,69,13,4,608,2.3000,0.5389,43.109,1,267,5764,66.7,33.3,16.7,83.3
308,13,64,0,0,0,0,1,1,1,1,1,1,0,1,0.075000,1954,69,13,4,608,12.3800,0.5389,43.109,1,267,5764,50.0,50.0,33.3,66.7
308,14,64,1,1,1,1,0,0,0,1,0,1,1,1,0.076000,1954,69,13,4,608,3.6300,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
308,15,64,0,0,1,1,1,1,1,1,0,1,1,1,0.076000,1955,69,13,4,608,12.7100,0.5389,43.109,1,267,5764,33.3,66.7,16.7,83.3
308,17,64,0,1,0,0,0,0,0,0,1,1,0,0,0.075000,1954,69,13,4,608,2.0000,0.5389,43.109,1,267,5764,83.3,16.7,66.7,33.3
308,18,64,0,0,0,0,0,0,0,0,0,1,1,1,0.075000,1954,69,13,4,608,9.9300,0.5389,43.109,1,267,5764,83.3,16.7,66.7,33.3
308,20,64,0,0,1,1,1,1,0,0,0,0,0,0,0.075000,1985,69,13,4,608,9.5600,0.5350,42.798,1,267,5764,66.7,33.3,66.7,33.3
308,21,64,0,1,1,1,1,1,1,1,1,1,1,1,0.075000,1907,69,13,4,599,17.5200,0.5389,43.109,1,267,5764,16.7,83.3,0.0,100.0
308,22,64,0,1,1,0,0,1,0,1,1,1,0,1,0.076000,1952,69,13,4,608,3.5300,0.5389,43.109,1,267,5764,66.7,33.3,16.7,83.3
308,23,64,0,0,0,0,0,0,0,0,0,0,1,1,0.075000,1979,69,13,4,608,9.8300,0.5350,42.798,1,267,5764,83.3,16.7,83.3,16.7
308,24,64,1,0,1,1,0,0,0,0,0,0,0,0,0.075000,1957,69,13,4,608,9.4100,0.5389,43.109,1,267,5764,66.7,33.3,83.3,16.7
308,25,64,0,0,1,1,0,1,0,1,1,1,0,0,0.075000,1956,69,13,4,608,10.2400,0.5389,43.109,1,267,5764,66.7,33.3,33.3,66.7
308,26,64,1,1,0,0,0,0,0,0,0,0,0,0,0.075000,1979,69,13,4,608,1.4800,0.5350,42.798,1,267,5764,83.3,16.7,83.3,16.7
308,27,64,0,1,1,1,0,1,0,0,0,1,0,1,0.076000,1954,69,13,4,608,2.6200,0.5389,43.109,1,267,5764,83.3,16.7,16.7,83.3
308,28,64,0,0,0,0,0,0,1,1,1,1,0,0,0.075000,1979,69,13,4,608,9.7300,0.5393,43.147,1,267,5764,66.7,33.3,66.7,33.3
308,29,64,0,0,0,0,1,1,0,0,1,1,1,1,0.075000,1974,69,13,4,608,10.3900,0.5350,42.798,1,267,5764,50.0,50.0,50.0,50.0
309,0,64,0,0,1,1,1,1,0,0,1,1,1,1,0.076000,1969,69,13,4,608,10.3900,0.5393,43.147,1,267,5764,33.3,66.7,33.3,66.7
309,1,64,0,1,0,0,0,1,0,1,1,1,1,1,0.076000,1955,69,13,4,608,4.9500,0.5389,43.109,1,267,5764,66.7,33.3,16.7,83.3
309,2,64,0,1,0,1,0,1,1,1,0,1,1,1,0.075000,1907,69,13,4,599,12.0500,0.5389,43.109,1,267,5764,66.7,33.3,0.0,100.0
309,4,64,1,1,1,1,0,0,1,1,1,1,1,1,0.076000,1974,69,13,4,608,5.1200,0.5350,42.798,1,267,5764,16.7,83.3,16.7,83.3
309,5,64,1,0,1,0,1,0,1,0,0,0,1,0,0.074000,1502,55,13,4,604,9.5700,0.4272,34.176,1,267,5764,16.7,83.3,100.0,0.0
309,6,64,0,0,0,0,0,0,0,0,1,1,1,1,0.075000,1972,68,13,4,606,10.0100,0.5349,42.795,1,267,5764,66.7,33.3,66.7,33.3
309,8,64,0,0,1,0,1,1,0,1,1,1,1,1,0.075000,1954,69,13,4,608,13.1400,0.5389,43.109,1,267,5764,33.3,66.7,33.3,66.7
309,9,64,1,1,0,0,0,0,0,0,0,1,0,0,0.076000,1954,69,13,4,608,1.7800,0.5389,43.109,1,267,5764,83.3,16.7,66.7,33.3
309,10,64,0,0,0,0,1,1,0,0,0,0,1,1,0.075000,1969,69,13,4,608,10.1100,0.5393,43.147,1,267,5764,66.7,33.3,66.7,33.3
309,11,64,0,0,1,1,1,1,0,0,1,0,0,0,0.075000,1962,69,13,4,608,9.6100,0.5389,43.109,1,267,5764,50.0,50.0,66.7,33.3
309,12,64,1,1,1,1,0,1,0,1,1,1,0,0,0.075000,1952,69,13,4,608,2.4800,0.5389,43.109,1,267,5764,50.0,50.0,16.7,83.3
309,13,64,1,1,1,1,1,1,1,1,0,1,0,0,0.075000,1956,69,13,4,608,2.8700,0.5389,43.109,1,267,5764,33.3,66.7,16.7,83.3
309,16,64,1,1,1,0,1,0,1,0,1,0,1,0,0.076000,1962,69,13,4,608,1.9000,0.5389,43.109,1,267,5764,0.0,100.0,83.3,16.7
309,17,64,0,0,1,1,1,1,0,0,0,0,1,1,0.076000,1979,69,13,4,608,10.1100,0.5393,43.147,1,267,5764,50.0,50.0,50.0,50.0
